ID,Title,Author,Price
3823,The Code Breaker,Walter Isaacson,0.03
8561,The Secret History,Donna Tartt,0.36
4022,Anxious People,Fredrik Backman,0.63
5174,Crime and Punishment,Fyodor Dostoevsky,0.78
1008,Life of Pi,Yann Martel,0.95
9376,The Maidens,Alex Michaelides,0.35
5120,The Goldfinch,Donna Tartt,0.65
2308,Beloved,Toni Morrison,0.62
4647,The Girl on the Train,Paula Hawkins,0.62
8300,The Midnight Bargain,C.L. Polk,0.48
6484,The Great Gatsby,F. Scott Fitzgerald,0.73
2064,The Grapes of Wrath,John Steinbeck,0.29
9829,War and Peace,Leo Tolstoy,0.59
4996,The Night Circus,Erin Morgenstern,0.05
7368,The Name of the Wind,Patrick Rothfuss,0.75
9592,The Fault in Our Stars,John Green,0.74
8007,The Catcher in the Rye,J.D. Salinger,0.31
7492,The Witch's Heart,Genevieve Gornichec,0.4
7001,The Kite Runner,Khaled Hosseini,0.77
1783,The Empire's Ruin,Brian Staveley,0.36
8926,The Sun Also Rises,Ernest Hemingway,0.08
221,The City We Became,N.K. Jemisin,0.95
4676,The Plot,Jean Hanff Korelitz,0.91
9335,Malibu Rising,Taylor Jenkins Reid,0.44
5465,Where the Crawdads Sing,Delia Owens,0.03
9697,Don Quixote,Miguel de Cervantes,0.41
8819,The Count of Monte Cristo,Alexandre Dumas,0.42
1117,The Rose Code,Kate Quinn,0.88
6920,The Luminous Dead,Caitlin Starling,0.19
8707,Transcendent Kingdom,Yaa Gyasi,0.19
167,The Jasmine Throne,Tasha Suri,0.22
7734,The Hunger Games,Suzanne Collins,0.29
7011,The Shining,Stephen King,0.72
925,Becoming,Michelle Obama,0.41
9849,To Kill a Mockingbird,Harper Lee,0.36
1905,Anna Karenina,Leo Tolstoy,0.32
1922,The Last House on Needless Street,Catriona Ward,0.83
3552,Piranesi,Susanna Clarke,0.4
635,The House in the Cerulean Sea,TJ Klune,0.72
9474,The Bone Shard Daughter,Andrea Stewart,0.38
6691,1984,George Orwell,0.15
2164,The Space Between Worlds,Micaiah Johnson,0.54
1821,The Four Winds,Kristin Hannah,0.15
8903,The Unbroken,C.L. Clark,0.85
8163,The Midnight Library,Matt Haig,0.62
8982,The Glass Hotel,Emily St. John Mandel,0.99
4850,The Book Thief,Markus Zusak,0.32
7808,The Thursday Murder Club,Richard Osman,0.91
2142,The Wolf and the Woodsman,Ava Reid,0.73
7745,The Vanishing Half,Brit Bennett,0.84
6716,The Lord of the Rings,J.R.R. Tolkien,0.76
7864,Educated,Tara Westover,0.12
953,The Burning God,R.F. Kuang,0.81
6,Hamlet,William Shakespeare,0.75
4134,The Canterbury Tales,Geoffrey Chaucer,0.79
