UserID,BookID,Reading Year
8233,7492,2025
5155,8300,2021
3181,221,2023
4969,2064,2024
6582,4647,2022
2770,953,2024
3982,7808,2024
6582,5120,2021
479,1821,2021
2826,7864,2023
1944,4676,2020
7889,4022,2022
4122,4134,2023
2629,7011,2024
9395,2064,2025
67,9829,2025
5892,7011,2022
6661,4022,2021
2770,1008,2024
1810,6920,2022
515,7001,2021
1944,8903,2022
7821,1821,2025
6661,6,2025
2629,9376,2024
515,4134,2024
5155,6,2020
5892,1008,2021
893,9474,2022
7889,221,2021
2006,5174,2024
4122,3823,2024
515,7864,2020
4969,167,2024
207,9697,2022
4307,7011,2025
6864,9849,2023
6753,7492,2021
6749,221,2021
8233,5174,2022
2826,7808,2023
527,7001,2023
6939,2308,2023
479,1117,2021
4825,7808,2021
4122,9829,2025
1467,9849,2023
8233,221,2023
3749,6920,2021
5155,4850,2025
8233,9849,2022
527,3552,2021
6410,2064,2024
527,1783,2022
1911,8707,2022
527,6,2020
1944,1922,2020
843,8300,2022
6661,1905,2020
7821,6484,2022
3982,4850,2021
7821,8007,2020
5892,8926,2024
4969,6691,2024
1367,4850,2023
7821,8926,2020
6864,9849,2024
8233,9592,2024
1810,7808,2023
6410,5174,2025
6939,7734,2023
8665,8903,2024
6582,7011,2020
6753,7808,2022
1944,5465,2023
6864,4134,2021
2826,6920,2025
6582,4134,2025
4307,167,2022
3181,2308,2020
8233,1117,2025
6614,4850,2022
207,8903,2023
5176,8561,2021
5155,3552,2020
1467,6920,2024
3181,2142,2021
2629,4996,2024
1227,1117,2023
5892,9829,2024
6939,6691,2023
893,8982,2024
2770,6920,2023
8107,953,2024
527,5465,2023
3181,9376,2020
5892,6716,2024
8665,8300,2025
4969,3823,2020
4975,8903,2020
4307,6484,2023
431,6920,2022
6749,9335,2021
9717,9829,2023
8233,9474,2025
4975,7011,2025
4969,9829,2025
8107,6484,2020
4825,9697,2023
7889,7864,2024
9717,9335,2022
1152,4676,2021
1227,1783,2024
4975,6716,2025
843,6484,2021
5155,7368,2024
2770,6,2023
527,2064,2022
8620,7864,2020
4307,7864,2021
7889,1905,2025
4307,7734,2021
6864,9697,2024
6864,5120,2025
1944,9474,2024
5155,8707,2024
8665,5120,2024
843,2142,2024
479,953,2021
9395,7734,2021
8233,9474,2023
7821,4676,2025
4307,9829,2020
4307,2064,2023
843,4996,2022
5155,1117,2020
8107,2064,2020
7821,9474,2024
2006,6,2024
9717,8707,2023
3982,8163,2020
1911,7011,2025
6939,6691,2022
1152,4647,2020
8665,4134,2025
4975,8707,2020
4969,4134,2024
479,7492,2020
1810,7001,2020
