init_fuel,city,walking.duration,walking.distance,init_address,vendor,final_time,driving.duration,driving.distance,plate,final_address,init_time,vin,smartPhoneRequired,init_date,final_fuel,exterior,interior,final_date,engineType,origin_destination.type,origin_destination.coordinates[0][0],origin_destination.coordinates[0][1],origin_destination.coordinates[1][0],origin_destination.coordinates[1][1],public_transport.duration,public_transport.distance,public_transport.arrival_date,public_transport.arrival_time,distance,virtual_rental_type_id,carModelData[0],carModelData[1],carModelData[2],car_category_id,car_category_type_id,car_name,onClick_disabled,virtual_rental_id
96,Torino,1183,1579,"Via Chambéry 93, 110, 10142 Torino TO",car2go,1505686342,329,1846,305/FF280SJ,"Via Sostegno, 40, 10146 Torino TO",1505685697,WME4533421K151384,true,2017-09-18T00:01:37.000Z,93,GOOD,GOOD,2017-09-18T00:12:22.000Z,CE,LineString,7.61133,45.06886,7.6195,45.07828,1065,2051,2017-09-18T00:29:36.000Z,1505687376,1227,,,,,,,,,
90,Torino,-1,-1,"Strada Altessano, 140, 10151 Torino TO",car2go,1505686489,-1,-1,241/FF112SJ,"Strada Altessano, 140, 10151 Torino TO",1505685697,WME4533421K152863,true,2017-09-18T00:01:37.000Z,90,GOOD,GOOD,2017-09-18T00:14:49.000Z,CE,LineString,7.64548,45.11008,7.64548,45.11008,-1,-1,-1,-1,0,,,,,,,,,
75,Torino,-1,-1,"Via Guido Reni, 26A, 10136 Torino TO",car2go,1505686390,-1,-1,535/FK815LX,"Via Guido Reni, 26A, 10136 Torino TO",1505685697,WME4530421Y135148,true,2017-09-18T00:01:37.000Z,75,GOOD,GOOD,2017-09-18T00:13:10.000Z,CE,LineString,7.62952,45.05467,7.62952,45.05467,-1,-1,-1,-1,0,,,,,,,,,
31,Torino,2874,3752,"Via Silvio Pellico, 14, 10125 Torino TO",car2go,1505688989,927,4729,418/FK619LX,"Via Antonio Pacinotti, 3a, 10144 Torino TO",1505685798,WME4530421Y135097,true,2017-09-18T00:03:18.000Z,31,GOOD,GOOD,2017-09-18T00:56:29.000Z,CE,LineString,7.68237,45.05785,7.66584,45.07986,-1,-1,-1,-1,2768,,,,,,,,,
44,Torino,1294,1739,"Via Luigi Capriolo, 31, 10139 Torino TO",enjoy,1505686322,389,1842,EZ225TY,"Corso Peschiera, 85-97, 10141 Torino TO",1505685824,,,2017-09-18T00:03:44.000Z,43,,,2017-09-18T00:12:02.000Z,,LineString,7.6423984,45.071346,7.6565294,45.061844,784,1970,2017-09-18T00:29:12.000Z,1505687352,1531,2,99,,,8,1,Fiat 500,false,414187
45,Torino,3108,4086,"Via Amilcare Ponchielli, 29-37, 10154 Torino TO",enjoy,1505687287,1131,5932,EZ534DD,"Via Nizza, 21, 10125 Torino TO",1505685824,,,2017-09-18T00:03:44.000Z,43,,,2017-09-18T00:28:07.000Z,,LineString,7.7019954,45.08719,7.6781316,45.05943,2023,6028,2017-09-18T01:05:57.000Z,1505689557,3608,2,99,100,141,8,1,Fiat 500,false,422845
37,Torino,-1,-1,"Via Andrea Sansovino, 35, 10151 Torino TO",car2go,1505688313,-1,-1,550/FK213PV,"Via Andrea Sansovino, 35, 10151 Torino TO",1505685847,WME4530421Y135192,true,2017-09-18T00:04:07.000Z,37,GOOD,GOOD,2017-09-18T00:45:13.000Z,CE,LineString,7.64971,45.11056,7.64971,45.11056,-1,-1,-1,-1,0,,,,,,,,,
84,Torino,2140,2843,"Via Belfiore, 32, 10125 Torino TO",car2go,1505687131,944,3867,318/FF293SJ,"Via Bligny, 5A, 10122 Torino TO",1505685897,WME4533421K152078,true,2017-09-18T00:04:57.000Z,81,GOOD,GOOD,2017-09-18T00:25:31.000Z,CE,LineString,7.67871,45.05635,7.67651,45.07536,1106,3540,2017-09-18T00:44:24.000Z,1505688264,2119,,,,,,,,,
100,Torino,3577,4754,"Corso Massimo d'Azeglio, 88, 10126 Torino TO",car2go,1505687864,846,5046,536/FK816LX,"Corso Traiano, 40, 10135 Torino TO",1505685897,WME4530421Y135147,true,2017-09-18T00:04:57.000Z,100,GOOD,GOOD,2017-09-18T00:37:44.000Z,CE,LineString,7.67785,45.04544,7.64301,45.02432,1881,6822,2017-09-18T01:05:34.000Z,1505689534,3604,,,,,,,,,
100,Torino,2256,2955,"Via Luigi Tarino, 18a, 10124 Torino TO",car2go,1505686835,887,4058,053/FF841KW,"Via Tommaso Valperga Caluso, 12, 10125 Torino TO",1505685897,WME4533421K146432,true,2017-09-18T00:04:57.000Z,100,GOOD,GOOD,2017-09-18T00:20:35.000Z,CE,LineString,7.6968,45.07206,7.6772,45.05359,1076,3065,2017-09-18T00:43:49.000Z,1505688229,2565,,,,,,,,,
