"product_code","product_name"
NWTB-1,Northwind Traders Chai
NWTCO-3,Northwind Traders Syrup
NWTCO-4,Northwind Traders Cajun Seasoning
NWTO-5,Northwind Traders Olive Oil
NWTJP-6,Northwind Traders Boysenberry Spread
NWTDFN-7,Northwind Traders Dried Pears
NWTS-8,Northwind Traders Curry Sauce
NWTDFN-14,Northwind Traders Walnuts
NWTCFV-17,Northwind Traders Fruit Cocktail
NWTBGM-19,Northwind Traders Chocolate Biscuits Mix
NWTJP-6,Northwind Traders Marmalade
NWTBGM-21,Northwind Traders Scones
NWTB-34,Northwind Traders Beer
NWTCM-40,Northwind Traders Crab Meat
NWTSO-41,Northwind Traders Clam Chowder
NWTB-43,Northwind Traders Coffee
NWTCA-48,Northwind Traders Chocolate
NWTDFN-51,Northwind Traders Dried Apples
NWTG-52,Northwind Traders Long Grain Rice
NWTP-56,Northwind Traders Gnocchi
NWTP-57,Northwind Traders Ravioli
NWTS-65,Northwind Traders Hot Pepper Sauce
NWTS-66,Northwind Traders Tomato Sauce
NWTD-72,Northwind Traders Mozzarella
NWTDFN-74,Northwind Traders Almonds
NWTCO-77,Northwind Traders Mustard
NWTDFN-80,Northwind Traders Dried Plums
NWTB-81,Northwind Traders Green Tea
NWTC-82,Northwind Traders Granola
NWTCS-83,Northwind Traders Potato Chips
NWTBGM-85,Northwind Traders Brownie Mix
NWTBGM-86,Northwind Traders Cake Mix
NWTB-87,Northwind Traders Tea
NWTCFV-88,Northwind Traders Pears
NWTCFV-89,Northwind Traders Peaches
NWTCFV-90,Northwind Traders Pineapple
NWTCFV-91,Northwind Traders Cherry Pie Filling
NWTCFV-92,Northwind Traders Green Beans
NWTCFV-93,Northwind Traders Corn
NWTCFV-94,Northwind Traders Peas
NWTCM-95,Northwind Traders Tuna Fish
NWTCM-96,Northwind Traders Smoked Salmon
NWTC-82,Northwind Traders Hot Cereal
NWTSO-98,Northwind Traders Vegetable Soup
NWTSO-99,Northwind Traders Chicken Soup
