Car_ID,Brand,Model,Year,Color,Engine_Type,Transmission,Price
C0001,Toyota,Camry,2023,Red,Petrol,Automatic,80338.15
C0002,Tesla,Model 3,2019,Red,Electric,Manual,26437.73
C0003,Nissan,Qashqai,2018,Blue,Electric,Automatic,50158.13
C0004,Hyundai,Sonata,2025,Red,Hybrid,Automatic,33026.14
C0005,Toyota,RAV4,2016,White,Hybrid,Manual,79672.9
C0006,Hyundai,Elantra,2019,White,Diesel,Automatic,94225.03
C0007,Mercedes,C-Class,2020,Gray,Petrol,Manual,21344.38
C0008,Tesla,Model 3,2021,Gray,Hybrid,Manual,48813.94
C0009,BMW,3 Series,2017,Blue,Electric,Manual,34430.1
C0010,Tesla,Model S,2015,Red,Hybrid,Manual,42136.55
C0011,Tesla,Model 3,2017,Silver,Electric,Automatic,17337.05
C0012,Tesla,Model S,2016,Gray,Electric,Manual,78178.58
C0013,Hyundai,Sonata,2018,Blue,Diesel,Manual,92616.24
C0014,Toyota,RAV4,2024,Silver,Hybrid,Automatic,97512.33
C0015,Nissan,Altima,2019,Blue,Diesel,Manual,89267.74
C0016,BMW,3 Series,2024,Black,Petrol,Manual,36006.2
C0017,Nissan,Qashqai,2018,Silver,Petrol,Automatic,30585.94
C0018,Nissan,Qashqai,2016,Black,Petrol,Manual,71104.74
C0019,Tesla,Model S,2019,White,Diesel,Manual,24426.04
C0020,Toyota,Camry,2022,Blue,Electric,Manual,68270.75
C0021,BMW,3 Series,2020,Red,Diesel,Automatic,60882.36
C0022,Tesla,Model X,2018,Red,Diesel,Automatic,40366.14
C0023,Tesla,Model 3,2024,Silver,Diesel,Automatic,51077.41
C0024,Mercedes,E-Class,2019,Blue,Petrol,Manual,33546.72
C0025,Nissan,Altima,2016,Silver,Petrol,Manual,48204.7
C0026,BMW,3 Series,2023,Black,Electric,Automatic,94847.47
C0027,Mercedes,E-Class,2020,Gray,Hybrid,Manual,30021.18
C0028,Kia,Sportage,2016,Blue,Hybrid,Manual,64476.81
C0029,Tesla,Model 3,2024,Silver,Hybrid,Manual,87083.91
C0030,Hyundai,Tucson,2022,Gray,Diesel,Manual,30892.91
C0031,Mercedes,E-Class,2016,Silver,Petrol,Automatic,66365.92
C0032,Tesla,Model X,2018,Blue,Petrol,Automatic,65576.93
C0033,Tesla,Model 3,2020,White,Petrol,Manual,21841.21
C0034,Toyota,Camry,2023,Blue,Petrol,Automatic,89206.33
C0035,Kia,Cerato,2023,Blue,Hybrid,Manual,65266.64
C0036,Toyota,Camry,2017,Red,Electric,Automatic,22685.3
C0037,Kia,Sportage,2024,Red,Diesel,Manual,18249.01
C0038,Nissan,Altima,2017,White,Electric,Automatic,17943.21
C0039,Kia,Cerato,2022,Gray,Hybrid,Automatic,79781.25
C0040,Tesla,Model X,2016,White,Diesel,Manual,18775.42
C0041,Nissan,Qashqai,2015,Blue,Hybrid,Manual,48152.43
C0042,Mercedes,E-Class,2018,Gray,Hybrid,Automatic,52740.96
C0043,Hyundai,Sonata,2018,Silver,Diesel,Automatic,24980.76
C0044,BMW,3 Series,2019,White,Diesel,Automatic,34474.21
C0045,BMW,5 Series,2020,White,Electric,Manual,85822.19
C0046,BMW,X5,2022,White,Hybrid,Automatic,99941.14
C0047,Tesla,Model S,2019,White,Electric,Manual,37412.17
C0048,Mercedes,GLA,2022,Black,Petrol,Automatic,72301.28
C0049,Tesla,Model S,2020,Red,Diesel,Automatic,58158.34
C0050,Mercedes,C-Class,2024,Red,Diesel,Manual,88724.54
C0051,Kia,Sportage,2020,Gray,Diesel,Automatic,29037.62
C0052,Kia,Sportage,2022,Gray,Diesel,Manual,26075.52
C0053,Tesla,Model X,2022,Black,Hybrid,Manual,33621.82
C0054,Toyota,Camry,2018,Silver,Hybrid,Manual,30129.17
C0055,BMW,X5,2015,Blue,Diesel,Automatic,77348.2
C0056,Nissan,Sunny,2021,Gray,Diesel,Manual,65876.67
C0057,Nissan,Altima,2018,Black,Diesel,Manual,61473.24
C0058,Tesla,Model S,2023,Black,Electric,Automatic,94755.18
C0059,Kia,Sportage,2020,Gray,Petrol,Manual,91552.46
C0060,Toyota,Corolla,2023,Silver,Diesel,Manual,99129.16
C0061,Nissan,Sunny,2019,Black,Petrol,Manual,70324.99
C0062,Tesla,Model X,2017,Black,Electric,Manual,39427.05
C0063,Kia,Seltos,2019,Red,Diesel,Manual,83221.84
C0064,Hyundai,Tucson,2019,Silver,Diesel,Automatic,37129.03
C0065,Nissan,Altima,2019,Gray,Electric,Manual,46080.53
C0066,Mercedes,E-Class,2017,White,Hybrid,Manual,94252.12
C0067,Hyundai,Elantra,2016,Silver,Diesel,Manual,16670.51
C0068,Hyundai,Tucson,2018,Black,Diesel,Automatic,47910.8
C0069,Hyundai,Sonata,2023,Blue,Hybrid,Automatic,31312.75
C0070,Hyundai,Sonata,2016,Black,Hybrid,Automatic,37639.31
C0071,Kia,Seltos,2017,Black,Electric,Automatic,53635.55
C0072,Mercedes,GLA,2016,Red,Electric,Manual,90776.35
C0073,Kia,Sportage,2015,Red,Diesel,Manual,81463.08
C0074,Hyundai,Tucson,2017,Gray,Electric,Automatic,92661.53
C0075,Kia,Seltos,2020,Black,Petrol,Automatic,87777.21
C0076,Nissan,Qashqai,2020,Silver,Hybrid,Manual,97778.44
C0077,Toyota,RAV4,2018,Black,Electric,Automatic,37286.07
C0078,BMW,3 Series,2020,Blue,Hybrid,Manual,87241.9
C0079,Toyota,Corolla,2019,Blue,Diesel,Automatic,86983.02
C0080,BMW,X5,2020,White,Petrol,Automatic,97807.1
C0081,Tesla,Model 3,2016,Black,Petrol,Manual,37385.34
C0082,Tesla,Model S,2015,Gray,Diesel,Automatic,71327.53
C0083,Hyundai,Elantra,2020,Black,Electric,Manual,94839.15
C0084,BMW,3 Series,2024,White,Petrol,Manual,45427.97
C0085,Mercedes,E-Class,2020,White,Diesel,Manual,92630.78
C0086,BMW,5 Series,2019,Silver,Hybrid,Automatic,73510.91
C0087,Mercedes,GLA,2025,Gray,Hybrid,Manual,68728.35
C0088,Kia,Cerato,2024,White,Hybrid,Automatic,92417.23
C0089,Nissan,Qashqai,2018,Red,Electric,Manual,33212.38
C0090,BMW,5 Series,2019,Silver,Electric,Automatic,17920.21
C0091,Hyundai,Tucson,2018,Black,Electric,Manual,92699.73
C0092,Mercedes,GLA,2023,White,Petrol,Automatic,78374.9
C0093,Hyundai,Tucson,2019,Blue,Electric,Manual,86288.69
C0094,Tesla,Model 3,2023,Silver,Hybrid,Automatic,35633.32
