,City,Client_ID
0,Amalfi,2
1,Grimaud,1
2,Phalombe,5
3,Абинск,2
4,Абу-Даби,3
5,"Азербайджан, Baki, Баку",1
6,Аксай,3
7,Алапаевск,1
8,Алдан,3
9,Алексин,2
10,Альметьевск,6
11,Анапа,19
12,Ангарск,3
13,Анталия,2
14,Антиб,2
15,Апрелевка,29
16,"Аргентина, Buenos Aires F.D., Буэнос-Айрес",1
17,"Аргентина, Сальта",1
18,Арзамас,4
19,Арль,1
20,Армавир,1
21,Архангельск,26
22,Астана,1
23,Астрахань,25
24,Балахна,19
25,Балашиха,38
26,Бангкок,129
27,Барнаул,111
28,Барселона,6
29,"Бахрейн, Мухаррак, Аль-Мухаррак",1
30,"Бахрейн, Столичная мухафаза, Манама",1
31,"Беларусь, Минск",1
32,Белгород,55
33,Белград,14
34,Белек,1
35,Белово,3
36,Белый,1
37,Бердск,1
38,Берлин,40
39,Берн,2
40,Благовещенск,54
41,Блуменау,1
42,Бодрум,83
43,Бон,1
44,Боровск,4
45,"Бразилия, Пернамбуку, Ресифи",1
46,"Бразилия, Рио-де-Жанейро",1
47,"Бразилия, Санта-Катарина, Флорианополис",1
48,Братск,3
49,Брянск,17
50,Буденновск,3
51,Буэнос-Айрес,2
52,Вена,2
53,Венеция,2
54,Видное,12
55,Владивосток,263
56,Владикавказ,15
57,Владимир,6
58,Волгоград,114
59,Волжский,4
60,Вологда,17
61,Волоколамск,3
62,Волчанск,2
63,Воронеж,216
64,Воткинск,1
65,Все города,41
66,Выборг,7
67,Выкса,1
68,Гатчина,18
69,Геленджик,24
70,"Германия, Саксония, Лейпциг",1
71,"Германия, Северный Рейн-Вестфалия, Гельзенкирхен",1
72,Глазов,1
73,"Гонконг, Сатхинь, Pok Hong",1
74,Горно-Алтайск,1
75,"Грузия, Тбилиси",1
76,Грязи,6
77,Гуанчжоу,1
78,Гурьевск,10
79,Гёйнюк,2
80,Дербент,4
81,Дзержинск,10
82,Дижон,6
83,Долгопрудный,25
84,Домодедово,2
85,Донецк,56
86,Донской,1
87,Доха,4
88,Дубай,72
89,Дятьково,3
90,Егорьевск,3
91,Ейск,3
92,Екатеринбург,205
93,Екатериновка,1
94,Елабуга,1
95,Ереван,3
96,Железногорск,2
97,Жуи-ле-Мутье,1
98,Жуковский,6
99,Заозерск,1
100,Заринск,2
101,Зеленоград,2
102,Зеленодольск,12
103,Иваново,18
104,"Ивановская обл, Приволжский р-н, Плес",2
105,Ивантеевка,2
106,Ижевск,35
107,"Индонезия, Западная Ява, Бандунг",1
108,Иркутск,283
109,"Испания, Каталония, Барселона",1
110,"Италия, Sardinia, Ala dei Sardi",1
111,"Италия, Кампания, Неаполь",1
112,"Италия, Кампания, Сорренто",1
113,"Италия, Лацио, Рим",4
114,Ишим,16
115,Йошкар-Ола,55
116,Казань,286
117,Калининград,41
118,Калуга,12
119,Каменск-Шахтинский,2
120,Канны,2
121,Каш,2
122,Кемерово,71
123,Кингисепп,2
124,"Кипр, Лимасол",1
125,Киров,30
126,Кирово-Чепецк,3
127,Кисловодск,1
128,"Китай, Beijing, Пекин",1
129,"Китай, Hainan, Санья",1
130,Ковров,5
131,Когалым,9
132,Коломбо,1
133,Комо,1
134,Комсомольск-на-Амуре,4
135,Кондопога,2
136,Королёв,34
137,Королёво,2
138,Корсаков,5
139,Кострома,31
140,Красногорск,12
141,Краснодар,305
142,"Краснодарский край, Кущевский р-н, хутор Красная Поляна",1
143,"Краснодарский край, Сочи",8
144,Краснокаменск,6
145,Красноярск,107
146,Кропоткин,3
147,Крымск,2
148,Курган,10
149,Курильск,2
150,Курск,31
151,Курчатов,1
152,Ла-Пас,1
153,Ла-Сьота,1
154,Лабытнанги,7
155,Ламбеск,1
156,Лангепас,2
157,Ленинск,1
158,Ленинск-Кузнецкий,2
159,Лима,2
160,Лион,2
161,Липецк,19
162,Лиссабон,1
163,Лондон,90
164,Луганск,5
165,Лыткарино,1
166,Люберцы,2
167,Лянтор,2
168,"Маврикий, Port Louis, Порт-Луи",4
169,Магадан,5
170,Магнитогорск,11
171,Мадрид,1
172,Мале,4
173,"Мальдивы, Kaafu Atoll, Мале",2
174,"Мальдивы, Raa Atoll, Un'goofaaru",1
175,Манама,1
176,Маскат,2
177,Махачкала,8
178,Мегион,7
179,Междуреченск,1
180,Миасс,1
181,Милан,5
182,Минеральные Воды,7
183,Минск,10
184,Мирный,12
185,Мичуринск,8
186,Можайск,1
187,Монако,1
188,"Монако, Municipality of Monaco, Монако",2
189,Мончегорск,1
190,Москва,19334
191,Мурино,2
192,Мурманск,30
193,Муром,16
194,Мытищи,36
195,Набережные Челны,10
196,Нальчик,3
197,Наро-Фоминск,1
198,Нарьян-Мар,5
199,Находка,7
200,Не указан,3084
201,Невинномысск,2
202,Нерюнгри,1
203,Нефтекамск,9
204,Нефтеюганск,7
205,Нижневартовск,17
206,Нижний Новгород,84
207,Нижний Тагил,7
208,Никосия,1
209,Ницца,3
210,Новоалтайск,9
211,Новокузнецк,33
212,Новомосковск,7
213,Новороссийск,38
214,Новосибирск,382
215,Новочеркасск,1
216,Новый Уренгой,22
217,Норильск,14
218,Ноябрьск,8
219,"ОАЭ, Dubai, Дубай",2
220,"ОАЭ, Imarat Ra's al Khaymah, Рас-эль-Хайма",1
221,Обнинск,11
222,Октябрьский,3
223,Оленегорск,3
224,Оленегорск-2,2
225,Омск,51
226,Оренбург,37
227,Орск,1
228,Орёл,23
229,Острогожск,10
230,Отрадный,1
231,Павлово,16
232,Падуя,1
233,Париж,11
234,Партизанск,1
235,Пекин,5
236,Пенза,52
237,Пермь,465
238,Петергоф,1
239,Петрозаводск,91
240,Петропавловск-Камчатский,26
241,Пинск,2
242,Плес,2
243,Подольск,7
244,Порт-Луи,6
245,"Прованс — Альпы — Лазурный Берег, Рокбрюн-Кап-Мартен",1
246,Прокопьевск,1
247,Протвино,12
248,Псков,2
249,Пушкин,1
250,Пущино,1
251,Пуэрто-Игуасу,2
252,Пятигорск,6
253,Радужный,1
254,Раменское,12
255,Реймс,3
256,Ресифи,1
257,Реутов,5
258,Ржев,1
259,Рим,6
260,Рио-де-Жанейро,3
261,Ростов,2
262,Ростов-на-Дону,258
263,Рубцовск,3
264,Рыбинск,3
265,Рязань,134
266,Саки,3
267,Салават,2
268,Салехард,7
269,Салон-де-Прованс,1
270,Сальта,8
271,Самара,159
272,Санкт-Петербург,1582
273,"Санкт-Петербург, Петергоф",1
274,Сантьяго,1
275,Саранск,7
276,Саратов,105
277,Саров,4
278,Севастополь,9
279,Северодвинск,29
280,Североморск,2
281,Серпухов,1
282,Сертолово,4
283,Сибай,1
284,Сидней,2
285,Сиена,1
286,Симферополь,8
287,Смоленск,28
288,Снежинск,6
289,Соликамск,4
290,Солнечногорск,1
291,Сочи,149
292,Ставрополь,50
293,Стамбул,10
294,Старый Оскол,24
295,Стерлитамак,5
296,Суздаль,1
297,Сургут,40
298,Сухум,1
299,Сыктывкар,30
300,Таганрог,46
301,Тамбов,3
302,Тбилиси,7
303,"Тверская обл, Конаковский р-н, село Завидово",1
304,Тверь,12
305,Темрюк,2
306,Тихвин,2
307,Тобольск,9
308,Токио,1
309,Тольятти,150
310,Томск,58
311,Трехгорный,3
312,Тула,47
313,"Турция, Анталья, Анталия",1
314,"Турция, Анталья, Белек",2
315,"Турция, Мугла, Бодрум",1
316,Тюмень,504
317,Удачный,5
318,Удомля,1
319,"Узбекистан, Ташкент, Алмазарский р-н, ТашГосМи массив",1
320,Улан-Удэ,49
321,Ульяновск,24
322,Урай,22
323,Усинск,1
324,Уфа,279
325,Ухта,15
326,Учалы,7
327,Флоренция,4
328,Флорианополис,4
329,"Франция, Бургундия — Франш-Конте, Бон",1
330,"Франция, Бургундия — Франш-Конте, Дижон",3
331,"Франция, Гранд-Эст, Реймс",2
332,"Франция, Гранд-Эст, Эперне",1
333,"Франция, Иль-де-Франс, Париж",2
334,"Франция, Овернь — Рона — Альпы, Лион",1
335,"Франция, Овернь — Рона — Альпы, Мутье",2
336,"Франция, Прованс — Альпы — Лазурный Берег, Grimaud",1
337,"Франция, Прованс — Альпы — Лазурный Берег, Авиньон",1
