,employee_id,device_id,date,action,duration
0,1044,20,2026-05-08,DELETE,14
1,1147,26,2026-05-01,LOGIN,278
2,1049,27,2026-05-31,DELETE,59
3,1091,14,2026-05-01,DELETE,415
4,1081,36,2026-05-23,EXPORT,316
5,1134,4,2026-05-28,LOGIN,60
6,1082,26,2026-05-05,EXPORT,53
7,1043,40,2026-05-18,UPLOAD,414
8,1044,16,2026-05-04,EXPORT,373
9,1066,39,2026-05-16,EXPORT,494
10,1045,20,2026-05-20,UPLOAD,120
11,1019,24,2026-05-22,EXPORT,262
12,1004,10,2026-05-24,DELETE,334
13,1097,2,2026-05-29,DELETE,448
14,1098,9,2026-05-19,DOWNLOAD,88
15,1096,18,2026-05-28,LOGIN,298
16,1137,30,2026-05-28,DELETE,135
17,1101,3,2026-05-30,LOGIN,462
18,1048,29,2026-05-07,EXPORT,480
19,1018,7,2026-05-15,DOWNLOAD,471
20,1040,25,2026-05-18,DELETE,383
21,1065,24,2026-05-09,EXPORT,469
22,1114,6,2026-05-28,DOWNLOAD,112
23,1053,15,2026-05-07,EXPORT,57
24,1062,15,2026-05-31,LOGIN,432
25,1126,40,2026-05-01,EXPORT,387
26,1114,27,2026-05-13,EXPORT,283
27,1061,21,2026-05-04,EXPORT,32
28,1140,32,2026-05-02,DOWNLOAD,351
29,1049,32,2026-05-10,EXPORT,164
30,1150,12,2026-05-05,DOWNLOAD,234
31,1090,9,2026-05-25,DOWNLOAD,208
32,1068,20,2026-05-03,UPLOAD,24
33,1071,15,2026-05-05,EXPORT,394
34,1095,13,2026-05-11,DELETE,263
35,1135,8,2026-05-26,DOWNLOAD,7
36,1126,21,2026-05-18,EXPORT,283
37,1022,25,2026-05-31,DELETE,333
38,1103,35,2026-05-20,LOGIN,37
39,1040,40,2026-05-02,DELETE,424
40,1147,30,2026-05-24,DOWNLOAD,324
41,1053,31,2026-05-23,DOWNLOAD,400
42,1030,6,2026-05-16,DOWNLOAD,194
43,1123,11,2026-05-23,UPLOAD,286
44,1120,8,2026-05-23,DELETE,297
45,1150,8,2026-05-25,EXPORT,374
46,1061,39,2026-05-18,EXPORT,180
47,1073,12,2026-05-06,DOWNLOAD,78
48,1046,3,2026-05-15,DELETE,48
49,1058,16,2026-05-12,LOGIN,143
50,1029,27,2026-05-29,DELETE,471
51,1053,16,2026-05-30,EXPORT,457
52,1146,5,2026-05-04,DOWNLOAD,284
53,1032,40,2026-05-29,DELETE,231
54,1009,12,2026-05-12,UPLOAD,96
55,1037,3,2026-05-26,DOWNLOAD,354
56,1008,35,2026-05-11,UPLOAD,23
57,1068,3,2026-05-22,DOWNLOAD,202
58,1052,31,2026-05-09,EXPORT,316
59,1046,24,2026-05-27,LOGIN,309
60,1017,29,2026-05-01,DELETE,123
61,1021,33,2026-05-18,DELETE,113
62,1048,38,2026-05-06,DOWNLOAD,491
63,1009,16,2026-05-31,LOGIN,215
64,1005,33,2026-05-12,LOGIN,61
65,1006,10,2026-05-28,EXPORT,99
66,1046,30,2026-05-23,UPLOAD,126
67,1097,34,2026-05-29,DELETE,496
68,1112,35,2026-05-03,DOWNLOAD,271
69,1101,7,2026-05-01,LOGIN,451
70,1131,6,2026-05-07,DELETE,258
71,1123,15,2026-05-28,DELETE,341
72,1103,32,2026-05-18,DELETE,149
73,1135,2,2026-05-12,LOGIN,374
74,1016,32,2026-05-29,EXPORT,275
75,1092,28,2026-05-22,DELETE,458
76,1122,21,2026-05-20,LOGIN,450
77,1143,17,2026-05-16,LOGIN,164
78,1007,19,2026-05-26,DOWNLOAD,172
79,1099,14,2026-05-20,EXPORT,143
80,1112,34,2026-05-25,EXPORT,382
81,1136,20,2026-05-07,EXPORT,273
82,1098,21,2026-05-17,LOGIN,341
83,1129,3,2026-05-04,LOGIN,32
84,1147,14,2026-05-10,EXPORT,245
85,1019,21,2026-05-06,LOGIN,470
86,1087,27,2026-05-02,EXPORT,160
87,1004,7,2026-05-04,DOWNLOAD,436
88,1130,29,2026-05-18,UPLOAD,443
89,1023,9,2026-05-01,UPLOAD,20
90,1107,40,2026-05-01,UPLOAD,296
91,1082,15,2026-05-16,UPLOAD,245
92,1081,28,2026-05-25,DOWNLOAD,172
93,1058,38,2026-05-13,LOGIN,408
94,1012,15,2026-05-14,DOWNLOAD,235
95,1121,15,2026-05-11,DELETE,95
96,1004,30,2026-05-25,LOGIN,236
97,1028,32,2026-05-20,EXPORT,357
98,1033,40,2026-05-30,DELETE,6
99,1074,12,2026-05-29,DELETE,209
100,1005,20,2026-05-08,DOWNLOAD,262
101,1010,27,2026-05-28,DELETE,255
102,1017,2,2026-05-10,DOWNLOAD,388
103,1060,22,2026-05-16,DELETE,361
104,1033,26,2026-05-27,DOWNLOAD,329
105,1137,40,2026-05-07,LOGIN,74
106,1133,8,2026-05-05,DELETE,54
107,1111,36,2026-05-31,DOWNLOAD,356
108,1132,26,2026-05-10,UPLOAD,180
109,1031,37,2026-05-18,UPLOAD,156
110,1004,17,2026-05-25,DELETE,213
111,1123,7,2026-05-07,DOWNLOAD,397
112,1018,1,2026-05-04,LOGIN,249
113,1082,27,2026-05-31,DELETE,126
114,1034,26,2026-05-10,LOGIN,172
115,1048,32,2026-05-30,DOWNLOAD,428
116,1063,14,2026-05-18,UPLOAD,134
117,1014,19,2026-05-18,DOWNLOAD,77
118,1090,9,2026-05-03,LOGIN,394
119,1087,1,2026-05-13,UPLOAD,151
120,1033,21,2026-05-31,DELETE,101
121,1081,20,2026-05-31,UPLOAD,381
122,1128,33,2026-05-14,DELETE,23
123,1112,33,2026-05-22,DELETE,165
124,1099,18,2026-05-14,UPLOAD,377
