Номер кейса,Номер задачи,ID клиента,Пол,Канал обращения,Ответственный отдел,Категория услуг,Услуга,Программа,Дата и время создания (МСК),Что делали,Страна,Город,"""Технический кейс"""
32737,32737.1,19070,,Телефон,Первая Линия,Информационная поддержка,Информационный запрос,Базовый,30.11.2024 21:39,"Инфо, Подборка",Россия,Курск,0
32646,32646.1,19067,,Мессенджер,Лайфстайл,Товары,Цветы,Базовый,30.11.2024 15:25,,Россия,Воронеж,0
32583,32583.1,19066,,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,Базовый,30.11.2024 07:15,Инфо,Россия,Москва,1
32571,32571.1,19065,,Мессенджер,Первая Линия,Сервисы,Бесплатная юридическая консультация,Базовый,29.11.2024 23:15,Передано партнеру,Россия,Владимир,0
32572,32572.1,19065,,Мессенджер,Первая Линия,Информационная поддержка,Информационный запрос,Базовый,29.11.2024 23:30,Инфо,Россия,Владимир,0
32578,32578.1,19065,,Телефон,Первая Линия,Путешествия,Поезда,Базовый,30.11.2024 04:34,Инфо,Россия,Владимир,0
32565,32565.1,19064,,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,VIP,29.11.2024 22:06,Инфо,Россия,Самара,1
32566,32566.1,19064,,Мессенджер,Путешествия,Размещение,Отели,VIP,29.11.2024 22:12,,Россия,Самара,0
32561,32561.1,19063,,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,Базовый,29.11.2024 21:53,Инфо,Россия,Краснодар,1
32563,32563.1,19063,,Мессенджер,Лайфстайл,Товары,Животные,Базовый,29.11.2024 21:56,Подборка,Россия,Краснодар,0
32555,32555.1,19062,,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,Базовый,29.11.2024 21:39,Инфо,Россия,Махачкала,1
32553,32553.1,19061,,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,Базовый,29.11.2024 21:35,Инфо,Россия,Балашиха,1
32557,32557.1,19061,,Мессенджер,Лайфстайл,Мероприятия,Афиша,Базовый,29.11.2024 21:45,Подборка,Россия,Балашиха,0
32518,32518.1,19058,,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,Базовый,29.11.2024 18:50,Инфо,Россия,Москва,1
32530,32530.1,19058,,Телефон,Путешествия,Путешествия,Авиа,Базовый,29.11.2024 19:27,"Инфо, Подборка",Россия,Москва,0
32532,32532.1,19057,,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,Базовый,29.11.2024 19:36,Инфо,Россия,Белгород,1
32536,32536.1,19057,,Мессенджер,Первая Линия,Информационная поддержка,Техническая поддержка по продуктам КС,Базовый,29.11.2024 19:45,Инфо,Россия,Белгород,0
32507,32507.1,19056,,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,Базовый,29.11.2024 18:23,Инфо,Россия,Москва,1
32505,32505.1,19055,,Мессенджер,Путешествия,Размещение,Размещение,Базовый,29.11.2024 18:03,Подборка,Россия,Москва,0
32479,32479.1,19048,,Мессенджер,Первая Линия,Гастро,Коллекция ресторанов,VIP,29.11.2024 16:29,"Инфо, Подборка",Россия,Москва,0
32480,32480.1,19048,,Мессенджер,Первая Линия,Информационная поддержка,Предложения от КС,VIP,29.11.2024 16:31,Инфо,Россия,Москва,0
32480,32480.2,19048,,Мессенджер,Первая Линия,Информационная поддержка,Предложения от КС,VIP,29.11.2024 16:31,Инфо,Россия,Москва,0
32468,32468.1,19046,,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,VIP,29.11.2024 16:11,Инфо,Россия,Москва,1
32470,32470.1,19046,,Мессенджер,Лайфстайл,Гастро,Ресторан,VIP,29.11.2024 16:18,Бронирование/покупка,Россия,Москва,0
32448,32448.1,19044,,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,Базовый,29.11.2024 15:38,Инфо,Россия,Санкт-Петербург,1
32450,32450.1,19044,,Телефон,Лайфстайл,Мероприятия,Представления,Базовый,29.11.2024 15:44,,Россия,Санкт-Петербург,0
32442,32442.1,19043,,Телефон,Первая Линия,Сервисы,Бесплатная юридическая консультация,Базовый,29.11.2024 15:30,Передано партнеру,Россия,Москва,0
32420,32420.1,19042,,Мессенджер,Лайфстайл,Мероприятия,Представления,VIP,29.11.2024 14:28,,Россия,Москва,0
32413,32413.1,19040,,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,Базовый,29.11.2024 13:51,Инфо,Россия,Елабуга,1
32409,32409.1,19039,,Мессенджер,Лайфстайл,Мероприятия,Представления,VIP,29.11.2024 13:32,Бронирование/покупка,Россия,Санкт-Петербург,0
32409,32409.2,19039,,Мессенджер,Лайфстайл,Мероприятия,Представления,VIP,29.11.2024 18:05,Инфо,Россия,Санкт-Петербург,0
32398,32398.1,19038,,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,VIP,29.11.2024 13:21,Инфо,Россия,Казань,1
32387,32387.1,19037,,Телефон,Путешествия,Путешествия,Бизнес зал,Базовый,29.11.2024 12:35,Инфо,Россия,Сочи,0
32400,32400.1,19037,,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,Базовый,29.11.2024 13:23,Инфо,Россия,Сочи,1
32388,32388.1,19036,,Телефон,Лайфстайл,Мероприятия,Представления,VIP,29.11.2024 12:44,Инфо,Россия,Москва,0
32388,32388.2,19036,,Телефон,Лайфстайл,Мероприятия,Афиша,VIP,29.11.2024 12:46,Подборка,Россия,Москва,0
32459,32459.1,19034,,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,Базовый,29.11.2024 16:00,Инфо,Россия,Новосибирск,1
32469,32469.1,19034,,Мессенджер,Путешествия,Путешествия,Визовая поддержка,Базовый,29.11.2024 16:14,Инфо,Россия,Новосибирск,0
32376,32376.1,19033,,Телефон,Путешествия,Информационная поддержка,Информационный запрос,VIP,29.11.2024 11:36,Инфо,Россия,Москва,0
32533,32533.1,19032,,Мессенджер,Лайфстайл,Гастро,Банкет,Базовый,29.11.2024 19:38,"Инфо, Подборка",Россия,Москва,0
32446,32446.1,19029,,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,VIP,29.11.2024 15:36,Инфо,Россия,Краснодар,1
32447,32447.1,19029,,Телефон,Первая Линия,Информационная поддержка,Информационный запрос,VIP,29.11.2024 15:37,Инфо,Россия,Краснодар,0
32367,32367.1,19028,,Мессенджер,Путешествия,Путешествия,Авиа,Базовый,29.11.2024 10:52,Инфо,Не указан,Не указан,0
32370,32370.1,19027,,Мессенджер,Лайфстайл,Товары,Электроника и техника,VIP,29.11.2024 10:58,Инфо,Россия,Владивосток,0
32355,32355.1,19025,,Телефон,Лайфстайл,Сервисы,Спорт активности,Базовый,29.11.2024 09:13,"Инфо, Подборка",Россия,Калининград,0
32325,32325.1,19022,,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,Базовый,28.11.2024 22:19,Инфо,Россия,Москва,1
32321,32321.1,19021,,Телефон,Первая Линия,Гастро,Ресторан,Базовый,28.11.2024 22:09,Бронирование/покупка,Россия,Москва,0
