,time,value
1949-01-01,1949.0,112
1949-02-01,1949.08333333333,118
1949-03-01,1949.16666666667,132
1949-04-01,1949.25,129
1949-05-01,1949.33333333333,121
1949-06-01,1949.41666666667,135
1949-07-01,1949.5,148
1949-08-01,1949.58333333333,148
1949-09-01,1949.66666666667,136
1949-10-01,1949.75,119
1949-11-01,1949.83333333333,104
1949-12-01,1949.91666666667,118
1950-01-01,1950.0,115
1950-02-01,1950.08333333333,126
1950-03-01,1950.16666666667,141
1950-04-01,1950.25,135
1950-05-01,1950.33333333333,125
1950-06-01,1950.41666666667,149
1950-07-01,1950.5,170
1950-08-01,1950.58333333333,170
1950-09-01,1950.66666666667,158
1950-10-01,1950.75,133
1950-11-01,1950.83333333333,114
1950-12-01,1950.91666666667,140
1951-01-01,1951.0,145
1951-02-01,1951.08333333333,150
1951-03-01,1951.16666666667,178
1951-04-01,1951.25,163
1951-05-01,1951.33333333333,172
1951-06-01,1951.41666666667,178
1951-07-01,1951.5,199
1951-08-01,1951.58333333333,199
1951-09-01,1951.66666666667,184
1951-10-01,1951.75,162
1951-11-01,1951.83333333333,146
1951-12-01,1951.91666666667,166
1952-01-01,1952.0,171
1952-02-01,1952.08333333333,180
1952-03-01,1952.16666666667,193
1952-04-01,1952.25,181
1952-05-01,1952.33333333333,183
1952-06-01,1952.41666666667,218
1952-07-01,1952.5,230
1952-08-01,1952.58333333333,242
1952-09-01,1952.66666666667,209
1952-10-01,1952.75,191
1952-11-01,1952.83333333333,172
1952-12-01,1952.91666666667,194
1953-01-01,1953.0,196
1953-02-01,1953.08333333333,196
1953-03-01,1953.16666666667,236
1953-04-01,1953.25,235
1953-05-01,1953.33333333333,229
1953-06-01,1953.41666666667,243
1953-07-01,1953.5,264
1953-08-01,1953.58333333333,272
1953-09-01,1953.66666666667,237
1953-10-01,1953.75,211
1953-11-01,1953.83333333333,180
1953-12-01,1953.91666666667,201
1954-01-01,1954.0,204
1954-02-01,1954.08333333333,188
1954-03-01,1954.16666666667,235
1954-04-01,1954.25,227
1954-05-01,1954.33333333333,234
1954-06-01,1954.41666666667,264
1954-07-01,1954.5,302
1954-08-01,1954.58333333333,293
1954-09-01,1954.66666666667,259
1954-10-01,1954.75,229
1954-11-01,1954.83333333333,203
1954-12-01,1954.91666666667,229
1955-01-01,1955.0,242
1955-02-01,1955.08333333334,233
1955-03-01,1955.16666666667,267
1955-04-01,1955.25,269
1955-05-01,1955.33333333334,270
1955-06-01,1955.41666666667,315
1955-07-01,1955.5,364
1955-08-01,1955.58333333334,347
1955-09-01,1955.66666666667,312
1955-10-01,1955.75,274
1955-11-01,1955.83333333334,237
1955-12-01,1955.91666666667,278
1956-01-01,1956.0,284
1956-02-01,1956.08333333334,277
1956-03-01,1956.16666666667,317
1956-04-01,1956.25,313
1956-05-01,1956.33333333334,318
1956-06-01,1956.41666666667,374
1956-07-01,1956.5,413
1956-08-01,1956.58333333334,405
1956-09-01,1956.66666666667,355
1956-10-01,1956.75,306
1956-11-01,1956.83333333334,271
1956-12-01,1956.91666666667,306
1957-01-01,1957.0,315
1957-02-01,1957.08333333334,301
1957-03-01,1957.16666666667,356
1957-04-01,1957.25,348
1957-05-01,1957.33333333334,355
1957-06-01,1957.41666666667,422
1957-07-01,1957.5,465
1957-08-01,1957.58333333334,467
1957-09-01,1957.66666666667,404
1957-10-01,1957.75,347
1957-11-01,1957.83333333334,305
1957-12-01,1957.91666666667,336
1958-01-01,1958.0,340
1958-02-01,1958.08333333334,318
1958-03-01,1958.16666666667,362
1958-04-01,1958.25,348
1958-05-01,1958.33333333334,363
1958-06-01,1958.41666666667,435
1958-07-01,1958.5,491
1958-08-01,1958.58333333334,505
1958-09-01,1958.66666666667,404
1958-10-01,1958.75,359
1958-11-01,1958.83333333334,310
1958-12-01,1958.91666666667,337
1959-01-01,1959.0,360
1959-02-01,1959.08333333334,342
1959-03-01,1959.16666666667,406
1959-04-01,1959.25,396
1959-05-01,1959.33333333334,420
1959-06-01,1959.41666666667,472
1959-07-01,1959.5,548
1959-08-01,1959.58333333334,559
1959-09-01,1959.66666666667,463
1959-10-01,1959.75,407
1959-11-01,1959.83333333334,362
1959-12-01,1959.91666666667,405
1960-01-01,1960.0,417
1960-02-01,1960.08333333334,391
1960-03-01,1960.16666666667,419
1960-04-01,1960.25,461
1960-05-01,1960.33333333334,472
1960-06-01,1960.41666666667,535
1960-07-01,1960.5,622
1960-08-01,1960.58333333334,606
1960-09-01,1960.66666666667,508
1960-10-01,1960.75,461
1960-11-01,1960.83333333334,390
1960-12-01,1960.91666666667,432
