,employee_id,incident_type,severity,date
0,1124,privilege_escalation,high,2026-05-07
1,1083,policy_violation,low,2026-05-06
2,1134,policy_violation,medium,2026-05-21
3,1081,data_copy,low,2026-05-19
4,1002,privilege_escalation,high,2026-05-14
5,1134,policy_violation,low,2026-05-18
6,1014,policy_violation,low,2026-05-21
7,1146,privilege_escalation,low,2026-05-14
8,1070,policy_violation,medium,2026-05-08
9,1076,data_copy,low,2026-05-14
10,1150,unauthorized_access,medium,2026-05-21
11,1078,data_copy,medium,2026-05-19
12,1013,unauthorized_access,high,2026-05-26
13,1073,data_copy,medium,2026-05-31
14,1114,unauthorized_access,low,2026-05-03
15,1106,data_copy,low,2026-05-15
16,1010,policy_violation,high,2026-05-21
17,1027,unauthorized_access,high,2026-05-30
18,1014,privilege_escalation,low,2026-05-16
19,1009,privilege_escalation,high,2026-05-25
20,1137,data_copy,low,2026-05-15
21,1105,data_copy,high,2026-05-14
22,1035,data_copy,low,2026-05-15
23,1109,unauthorized_access,medium,2026-05-24
24,1106,policy_violation,medium,2026-05-07
25,1121,privilege_escalation,high,2026-05-05
26,1067,data_copy,high,2026-05-09
27,1030,unauthorized_access,low,2026-05-16
28,1029,unauthorized_access,high,2026-05-28
29,1084,privilege_escalation,medium,2026-05-02
30,1068,privilege_escalation,medium,2026-05-22
31,1014,policy_violation,high,2026-05-23
32,1109,privilege_escalation,low,2026-05-07
33,1039,policy_violation,medium,2026-05-12
34,1021,policy_violation,high,2026-05-27
35,1071,unauthorized_access,low,2026-05-29
36,1006,unauthorized_access,high,2026-05-16
37,1040,policy_violation,high,2026-05-04
38,1132,data_copy,low,2026-05-02
39,1089,policy_violation,high,2026-05-17
40,1022,privilege_escalation,low,2026-05-17
41,1056,policy_violation,medium,2026-05-03
42,1046,policy_violation,medium,2026-05-16
43,1120,policy_violation,low,2026-05-23
44,1090,data_copy,high,2026-05-27
45,1116,data_copy,medium,2026-05-05
46,1144,policy_violation,medium,2026-05-07
47,1104,privilege_escalation,high,2026-05-28
48,1148,unauthorized_access,low,2026-05-13
49,1015,privilege_escalation,medium,2026-05-09
