Time	Value
2024-01-01	96
2024-01-02	27
2024-01-03	78
2024-01-04	70
2024-01-05	76
2024-01-06	24
2024-01-07	84
2024-01-08	8
2024-01-09	88
2024-01-10	79
2024-01-11	67
2024-01-12	75
2024-01-13	93
2024-01-14	98
2024-01-15	38
2024-01-16	3
2024-01-17	94
2024-01-18	13
2024-01-19	35
2024-01-20	86
2024-01-21	83
2024-01-22	82
2024-01-23	31
2024-01-24	88
2024-01-25	83
2024-01-26	18
2024-01-27	49
2024-01-28	23
2024-01-29	27
2024-01-30	49
2024-01-31	85
2024-02-01	59
2024-02-02	70
2024-02-03	28
2024-02-04	67
2024-02-05	33
2024-02-06	18
2024-02-07	67
2024-02-08	54
2024-02-09	39
2024-02-10	36
2024-02-11	41
2024-02-12	93
2024-02-13	69
2024-02-14	84
2024-02-15	28
2024-02-16	83
2024-02-17	96
2024-02-18	84
2024-02-19	4
2024-02-20	4
2024-02-21	77
2024-02-22	5
2024-02-23	42
2024-02-24	4
2024-02-25	93
2024-02-26	14
2024-02-27	93
2024-02-28	68
2024-02-29	89
2024-03-01	26
2024-03-02	61
2024-03-03	63
2024-03-04	20
2024-03-05	94
2024-03-06	76
2024-03-07	45
2024-03-08	25
2024-03-09	5
2024-03-10	87
2024-03-11	71
2024-03-12	65
2024-03-13	92
2024-03-14	99
2024-03-15	2
2024-03-16	28
2024-03-17	64
2024-03-18	38
2024-03-19	5
2024-03-20	77
2024-03-21	88
2024-03-22	64
2024-03-23	26
2024-03-24	81
2024-03-25	68
2024-03-26	41
2024-03-27	10
2024-03-28	78
2024-03-29	13
2024-03-30	40
2024-03-31	42
2024-04-01	36
2024-04-02	6
2024-04-03	98
2024-04-04	43
2024-04-05	10
2024-04-06	31
2024-04-07	26
2024-04-08	68
2024-04-09	67
2024-04-10	59
2024-04-11	6
2024-04-12	38
2024-04-13	46
2024-04-14	54
2024-04-15	55
2024-04-16	51
2024-04-17	10
2024-04-18	3
2024-04-19	91
2024-04-20	48
2024-04-21	63
2024-04-22	93
2024-04-23	60
2024-04-24	43
2024-04-25	75
2024-04-26	79
2024-04-27	70
2024-04-28	49
2024-04-29	16
2024-04-30	79
2024-05-01	92
2024-05-02	58
2024-05-03	17
2024-05-04	78
2024-05-05	80
2024-05-06	21
2024-05-07	39
2024-05-08	79
2024-05-09	1
2024-05-10	81
2024-05-11	88
2024-05-12	53
2024-05-13	74
2024-05-14	28
2024-05-15	89
2024-05-16	91
2024-05-17	71
2024-05-18	84
2024-05-19	91
2024-05-20	32
2024-05-21	84
2024-05-22	38
2024-05-23	83
2024-05-24	59
2024-05-25	15
2024-05-26	63
2024-05-27	50
2024-05-28	30
2024-05-29	46
2024-05-30	29
2024-05-31	71
2024-06-01	89
2024-06-02	24
2024-06-03	74
2024-06-04	20
2024-06-05	7
2024-06-06	14
2024-06-07	84
2024-06-08	75
2024-06-09	18
2024-06-10	13
2024-06-11	47
2024-06-12	61
2024-06-13	19
2024-06-14	62
2024-06-15	23
2024-06-16	99
2024-06-17	77
2024-06-18	51
2024-06-19	77
2024-06-20	6
2024-06-21	78
2024-06-22	62
2024-06-23	29
2024-06-24	28
2024-06-25	86
2024-06-26	9
2024-06-27	69
2024-06-28	74
2024-06-29	77
2024-06-30	3
2024-07-01	58
2024-07-02	61
2024-07-03	71
2024-07-04	94
2024-07-05	85
2024-07-06	16
2024-07-07	10
2024-07-08	94
2024-07-09	49
2024-07-10	98
2024-07-11	9
2024-07-12	41
2024-07-13	30
2024-07-14	67
2024-07-15	19
2024-07-16	95
2024-07-17	73
2024-07-18	88
2024-07-19	14
2024-07-20	35
2024-07-21	77
2024-07-22	6
2024-07-23	22
2024-07-24	60
2024-07-25	1
2024-07-26	45
2024-07-27	13
2024-07-28	69
2024-07-29	98
2024-07-30	32
2024-07-31	91
2024-08-01	39
2024-08-02	23
2024-08-03	28
2024-08-04	73
2024-08-05	75
2024-08-06	21
2024-08-07	42
2024-08-08	95
2024-08-09	71
2024-08-10	34
2024-08-11	55
2024-08-12	32
2024-08-13	13
2024-08-14	22
2024-08-15	30
2024-08-16	62
2024-08-17	90
2024-08-18	3
2024-08-19	7
2024-08-20	52
2024-08-21	11
2024-08-22	90
2024-08-23	72
2024-08-24	98
2024-08-25	82
2024-08-26	29
2024-08-27	71
2024-08-28	2
2024-08-29	59
2024-08-30	36
2024-08-31	52
2024-09-01	10
2024-09-02	85
2024-09-03	88
2024-09-04	20
2024-09-05	21
2024-09-06	19
2024-09-07	29
2024-09-08	21
2024-09-09	56
2024-09-10	56
2024-09-11	56
2024-09-12	93
2024-09-13	44
2024-09-14	5
2024-09-15	55
2024-09-16	21
2024-09-17	78
2024-09-18	25
2024-09-19	53
2024-09-20	30
2024-09-21	35
2024-09-22	22
2024-09-23	43
2024-09-24	22
2024-09-25	32
2024-09-26	48
2024-09-27	25
2024-09-28	41
2024-09-29	55
2024-09-30	70
2024-10-01	63
2024-10-02	95
2024-10-03	70
2024-10-04	80
2024-10-05	33
2024-10-06	96
2024-10-07	84
2024-10-08	80
2024-10-09	16
2024-10-10	23
2024-10-11	11
2024-10-12	32
2024-10-13	28
2024-10-14	66
2024-10-15	54
2024-10-16	72
2024-10-17	59
2024-10-18	68
2024-10-19	40
2024-10-20	88
2024-10-21	49
2024-10-22	76
2024-10-23	23
2024-10-24	4
2024-10-25	81
2024-10-26	48
2024-10-27	58
2024-10-28	77
2024-10-29	2
2024-10-30	48
2024-10-31	87
2024-11-01	62
2024-11-02	84
2024-11-03	49
2024-11-04	45
2024-11-05	51
2024-11-06	84
2024-11-07	40
2024-11-08	46
2024-11-09	92
2024-11-10	40
2024-11-11	49
2024-11-12	72
2024-11-13	56
2024-11-14	26
2024-11-15	85
2024-11-16	7
2024-11-17	45
2024-11-18	6
2024-11-19	31
2024-11-20	61
2024-11-21	89
2024-11-22	53
2024-11-23	70
2024-11-24	96
2024-11-25	46
2024-11-26	75
2024-11-27	94
2024-11-28	6
2024-11-29	53
2024-11-30	66
2024-12-01	31
2024-12-02	66
2024-12-03	50
2024-12-04	20
2024-12-05	93
2024-12-06	82
2024-12-07	65
2024-12-08	28
2024-12-09	56
2024-12-10	33
2024-12-11	25
2024-12-12	83
2024-12-13	20
2024-12-14	27
2024-12-15	82
2024-12-16	97
2024-12-17	64
2024-12-18	39
2024-12-19	18
2024-12-20	9
2024-12-21	68
2024-12-22	72
2024-12-23	4
2024-12-24	19
2024-12-25	91
2024-12-26	1
2024-12-27	23
2024-12-28	91
2024-12-29	49
2024-12-30	38
2024-12-31	53
