date,region,product,units,price
2025-08-24,North,Monitor,8,201
2025-07-23,East,Laptop,10,482
2025-08-15,South,Tablet,9,1389
2025-08-31,West,Monitor,2,1193
2025-07-02,West,Laptop,3,974
2025-09-08,West,Monitor,8,1450
2025-08-26,West,Smartphone,9,860
2025-09-03,South,Smartphone,3,375
2025-07-21,East,Headphones,7,165
2025-07-10,West,Tablet,1,1665
2025-07-05,North,Laptop,5,560
2025-07-31,North,Laptop,4,789
2025-09-01,West,Laptop,10,857
2025-08-30,North,Headphones,10,1791
2025-06-28,East,Laptop,9,689
2025-07-07,South,Monitor,7,839
2025-07-12,West,Laptop,6,782
2025-09-06,North,Laptop,2,1616
2025-07-24,West,Headphones,8,1912
2025-08-20,West,Tablet,4,1844
2025-06-20,East,Tablet,9,1616
2025-08-27,East,Headphones,5,132
2025-06-17,East,Tablet,4,1598
2025-07-11,West,Smartphone,9,692
2025-06-30,West,Laptop,6,1438
2025-07-02,West,Headphones,9,1646
2025-09-04,West,Laptop,10,1208
2025-09-06,South,Tablet,2,386
2025-09-03,East,Headphones,8,1108
2025-09-04,South,Laptop,4,1869
2025-07-01,West,Laptop,3,1579
2025-08-04,North,Smartphone,6,1557
2025-07-30,West,Smartphone,2,1089
2025-07-31,North,Tablet,6,1333
2025-09-03,South,Laptop,10,343
2025-07-19,West,Smartphone,5,1826
2025-07-02,East,Monitor,2,1524
2025-07-29,North,Smartphone,7,778
2025-06-18,West,Monitor,4,1925
2025-09-03,West,Laptop,7,1866
2025-07-12,West,Laptop,9,1063
2025-06-13,West,Tablet,8,442
2025-07-15,East,Laptop,7,273
2025-07-24,South,Headphones,5,612
2025-08-23,South,Smartphone,2,1578
2025-07-27,North,Laptop,8,233
2025-08-19,South,Tablet,4,785
2025-07-21,East,Tablet,5,475
2025-07-07,North,Smartphone,7,203
2025-06-30,South,Laptop,5,1282
2025-09-02,West,Monitor,4,386
2025-06-15,West,Tablet,4,1368
2025-09-02,South,Laptop,3,1358
2025-08-28,West,Smartphone,7,642
2025-08-18,South,Laptop,6,1197
2025-08-03,West,Monitor,5,1003
2025-09-07,East,Monitor,3,1626
2025-08-25,East,Smartphone,4,977
2025-08-18,South,Laptop,7,713
2025-06-18,East,Headphones,9,335
2025-07-13,East,Laptop,4,1707
2025-07-24,West,Laptop,9,1290
2025-07-23,East,Smartphone,6,336
2025-08-05,South,Headphones,10,1627
2025-07-31,East,Tablet,6,1957
2025-08-11,East,Tablet,5,563
2025-07-07,South,Monitor,6,1372
2025-08-02,West,Headphones,8,1166
2025-07-01,East,Laptop,5,1171
2025-08-15,South,Monitor,7,1217
2025-08-23,West,Smartphone,8,1196
2025-08-05,West,Headphones,7,1544
2025-08-02,North,Headphones,8,1060
2025-07-07,West,Monitor,7,1881
2025-08-24,East,Laptop,7,1512
2025-07-05,North,Monitor,4,113
2025-08-22,North,Laptop,1,589
2025-09-07,North,Headphones,9,1378
2025-09-07,East,Headphones,1,283
2025-07-25,East,Laptop,3,1484
2025-06-14,East,Tablet,1,732
2025-06-27,South,Monitor,3,1919
2025-08-02,East,Monitor,5,763
2025-08-11,South,Monitor,3,866
2025-07-31,North,Tablet,6,1981
2025-07-23,West,Headphones,2,357
2025-08-03,East,Headphones,4,806
2025-09-03,South,Laptop,8,931
2025-06-28,West,Smartphone,2,595
2025-07-26,North,Headphones,2,1308
2025-06-22,North,Monitor,6,944
2025-07-23,North,Laptop,2,1107
2025-08-04,East,Tablet,9,463
2025-06-15,South,Laptop,10,1710
2025-07-14,South,Tablet,8,482
2025-06-16,East,Smartphone,5,1880
2025-09-06,East,Headphones,3,1434
2025-08-04,East,Tablet,8,747
2025-08-11,East,Headphones,3,1155
2025-06-25,South,Monitor,6,763
