ID,Age,Gender,Salary,Department,StartDate
1,25.0,Male,50000,HR,2020-01-15
2,32.0,Female,54000,Finance,2019-06-01
3,,Female,58000,Finance,2021-03-20
4,45.0,Male,61000,IT,2018-11-12
5,22.0,Male,49000,HR,2022-07-23
6,37.0,Female,52000,IT,2020-09-17
7,29.0,Other,50000,HR,2023-01-30
8,41.0,Male,60000,IT,2017-02-08
9,33.0,Female,59000,Finance,2016-12-20
10,38.0,Female,61000,HR,2021-10-05
11,26.0,Male,50500,Finance,2022-01-01
12,27.0,Female,52000,IT,2023-07-14
13,31.0,Other,53000,HR,2019-05-05
14,40.0,Male,61000,Finance,2021-08-01
15,99.0,Female,300000,IT,2015-04-10
16,35.0,Female,51500,Finance,2020-11-11
17,28.0,Male,52500,HR,2018-03-18
18,,Other,49000,IT,2023-04-04
19,150.0,Male,1000000,HR,2010-10-10
20,30.0,Female,50000,Finance,2019-09-09
6,37.0,Female,52000,IT,2020-09-17
